baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Domain,Phylum,Class,Order,Family,Genus,Species
385.5610641730329,10.56228076305083,1.1243966177974765,9.393732243468277,5.791099503708522e-21,2.0058262826481337e-18,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,NA,NA
339.30739103946945,10.0195477195375,1.1806806888756862,8.486246801477462,2.1341793857312566e-17,3.1273936383215725e-15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pseudovibrio,NA
221.69601165142424,9.744166540779025,1.1480404165661664,8.487651131590129,2.1085543435000808e-17,3.1273936383215725e-15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,NA
187.12516224520897,9.500692876491927,1.0627737106082455,8.939525678570371,3.908443295170095e-19,8.272871641443368e-17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
152.4282165193043,9.173112031768945,1.1004328806833055,8.335912342125736,7.690287970448553e-17,9.156249114815309e-15,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
352.20158895122705,8.877912997906213,1.2448769971559996,7.131558393470494,9.923883517667324e-13,3.566980773803067e-11,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,NA
117.23568293553136,8.830591195204912,1.0708280909682406,8.246506857342816,1.6309178280401462e-16,1.6352097170613043e-14,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureisphaera,uncultured Bacteroidetes bacterium
105.54614302983391,8.68512281490889,1.0043150530879816,8.64780706831449,5.249848927336817e-18,1.0000962206576636e-15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicibacter,Tropicibacter phthalicicus
130.52227775519447,8.624764444487154,1.2938259260991969,6.66609338281717,2.6270214359118806e-11,6.457388174725333e-10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,uncultured bacterium
110.31936469965649,8.572750237576678,1.001511050064542,8.559815927167463,1.1304786960270897e-17,1.8726625355927007e-15,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4 lineage,planctomycete DDSe3013
90.77492198439703,8.465742763897696,0.9400339691740912,9.0057838775078,2.141305560696301e-19,5.098983866408067e-17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Maritalea,NA
88.21713950673053,8.395446897299177,1.0431565163666714,8.048118154445927,8.40767608109382e-16,6.815584227439884e-14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
134.5814551105218,8.364746465117914,1.0965294074341114,7.628383159090548,2.377161519103139e-14,1.3126065779395594e-12,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Neiella,Neiella marina
